Issue Type,Summary,Issue ID,Epic Name,Epic Link,Story Points,Sprint,Depends On,Assignee Role,Description,Acceptance Criteria
Story,"E1-1 Create GilliController with Rigidbody torque Magnus effect",E1-1,,E1,8,"Sprint 1",,Tech Lead,"Implement gilli flight model with aerodynamic force and torque handling.","Flip and hit produce believable spin curve wobble"
Story,"E1-2 Implement tapered collider and material tuning",E1-2,,E1,5,"Sprint 1",E1-1,Tech Artist,"Tune collider and material coefficients for realistic drag/lift and bounce.","Distance distribution matches target benchmark ranges"
Story,"E1-3 Switch Joy-Con shake detection for flip gesture",E1-3,,E1,5,"Sprint 1",,Gameplay Engineer,"Detect intentional flip shake while filtering idle/controller noise.","False positive rate below 2% in calibration suite"
Story,"E1-4 Swing arc detection from gyro accel",E1-4,,E1,8,"Sprint 1",E1-3,Gameplay Engineer,"Derive swing direction power and timing from motion data.","Power/timing curve maps correctly to telemetry buckets"
Story,"E1-5 Standard controls stick aim A flip RB swing RT charge",E1-5,,E1,3,"Sprint 1",,Gameplay Engineer,"Add controller fallback control scheme for non-motion play.","All inputs remappable and usable in match"
Story,"E1-6 Input abstraction layer Switch PC Mobile",E1-6,,E1,5,"Sprint 2","E1-3|E1-5",Tech Lead,"Abstract input devices behind common gameplay interface.","Platform swap requires no gameplay code changes"
Story,"E2-1 Batting turn state machine",E2-1,,E2,8,"Sprint 1",E1-1,Tech Lead,"Implement place/flip/strike/resolve state transitions.","No dead states across 100 simulated turns"
Story,"E2-2 Enforce max 3 flip failures out",E2-2,,E2,2,"Sprint 1",E2-1,Gameplay Engineer,"Track flip attempts and trigger out on third fail.","Out triggers exactly at attempt three"
Story,"E2-3 Air catch out logic with timestamp validation",E2-3,,E2,3,"Sprint 1",E2-1,Gameplay Engineer,"Resolve catch events against landing timestamps.","Catch precedence validated in edge-case tests"
Story,"E2-4 Fielder danda-hit out condition",E2-4,,E2,3,"Sprint 2",E2-1,Gameplay Engineer,"Detect valid fielder throw that hits grounded danda.","Out only triggers under legal grounded condition"
Story,"E2-5 Score measure service distance formula",E2-5,,E2,3,"Sprint 1",E2-1,Tech Lead,"Measure first landing distance and convert using danda length.","Runs equal floor(distance/dandaLength)"
Story,"E2-6 Double-runs logic for 2+ mid-air hits",E2-6,,E2,3,"Sprint 2",E2-5,Gameplay Engineer,"Apply multiplier when rally has two or more legal strikes.","Multiplier never applies on outs"
Story,"E2-7 Two-innings match manager and tie sudden death",E2-7,,E2,5,"Sprint 2","E2-3|E2-5",Tech Lead,"Manage innings swaps winner resolution and sudden death.","Tie always enters strike-off and resolves winner"
Story,"E3-1 Fielder interception prediction spline",E3-1,,E3,8,"Sprint 2",E1-1,Gameplay Engineer,"Predict landing and pathing for fielder pursuit.","Fielders reach catchable balls in expected windows"
Story,"E3-2 Catch probability model speed wind sun",E3-2,,E3,5,"Sprint 2",E3-1,Tech Lead,"Compute catch success odds with movement and environment penalties.","Catch rates match tuning table per difficulty"
Story,"E3-3 Difficulty tiers Easy Club District Pro",E3-3,,E3,5,"Sprint 3","E3-1|E3-2",Gameplay Engineer,"Expose AI profiles with escalating timing and positioning quality.","Difficulty progression shows measurable win-rate separation"
Story,"E3-4 Batting AI timing and risk profiles",E3-4,,E3,8,"Sprint 3","E2-1|E1-4",Gameplay Engineer,"AI decides safe vs aggressive swings by match context.","AI completes innings without illegal actions"
Story,"E3-5 Terrain bounce friction tags and wind zones",E3-5,,E3,5,"Sprint 2",E1-1,Tech Artist,"Implement environment modifiers for bounce and drift.","Different surfaces produce distinct rebound signatures"
Story,"E4-1 In-match HUD runs outs innings attempts wind",E4-1,,E4,5,"Sprint 2",E2-1,UI/UX,"Create readable gameplay HUD for all key match info.","HUD updates in real time without lag"
Story,"E4-2 Distance preview ribbon projected runs",E4-2,,E4,3,"Sprint 2",E2-5,UI/UX,"Show live/instant estimate of landing distance and runs.","Preview error within defined tolerance band"
Story,"E4-3 Tutorial with ghost replay prompts",E4-3,,E4,8,"Sprint 3","E1-4|E2-1",UI/UX + Gameplay,"Step-by-step onboarding with ghost timing overlays.","New players clear tutorial in under 8 minutes"
Story,"E4-4 Replay director slow-mo telemetry overlay",E4-4,,E4,8,"Sprint 3",E2-5,Tech Lead,"Cinematic replay system for best hits and outs.","Replay triggers and timeline controls function reliably"
Story,"E4-5 Menus Quick Tournament Career Challenges",E4-5,,E4,8,"Sprint 4",,UI/UX,"Main navigation and mode entry flow.","All mode entries are reachable within 2 interactions"
Story,"E5-1 Village field kit day evening variants",E5-1,,E5,8,"Sprint 2",,3D Artist,"Build stylized rural field environment variants.","Field meets art bible and performance budgets"
Story,"E5-2 Character roster v1 regional diversity",E5-2,,E5,13,"Sprint 3-4",,3D Artist,"Create initial cast with regional outfit diversity.","Roster approved by cultural review checklist"
Story,"E5-3 Animation integration swing catch celebrate",E5-3,,E5,8,"Sprint 3-4",E5-2,Animator,"Retarget and integrate core gameplay animations.","Animation transitions are clean with no major foot sliding"
Story,"E5-4 Folk music SFX pass adaptive cues",E5-4,,E5,8,"Sprint 4",E4-1,Audio Designer,"Implement music layers and gameplay-reactive audio cues.","Audio mix passes loudness and clarity targets"
Story,"E5-5 Lore cards and facts unlock system",E5-5,,E5,5,"Sprint 4",E4-5,UI/UX,"Add cultural lore content unlocks tied to progress.","Lore unlocks trigger correctly and are localized-ready"
Story,"E6-1 Quick Match productization 5v5 one innings",E6-1,,E6,3,"Sprint 3","E2-7|E4-1",Tech Lead,"Finalize quick match flow from menu to result.","Quick match playable end-to-end with no blockers"
Story,"E6-2 Tournament bracket flow state save load",E6-2,,E6,8,"Sprint 4","E4-5|E2-7",Gameplay Engineer,"Bracket progression with persistence.","Bracket resumes exactly after app restart"
Story,"E6-3 Career progression and rival storyline",E6-3,,E6,8,"Sprint 4-5",E6-2,Producer + Gameplay,"Career arc from village to championship rival matchups.","Career milestones and rival events trigger in order"
Story,"E6-4 Economy rupees rewards cosmetics unlock",E6-4,,E6,5,"Sprint 5",E6-3,Gameplay Engineer,"Currency and reward loop for progression.","Rewards grant and spend flows are exploit-safe"
Story,"E6-5 Challenges mode launch set",E6-5,,E6,5,"Sprint 5",E2-7,Gameplay Engineer,"Implement launch challenge templates and scoring.","All challenge objectives validate correctly"
Story,"E7-1 Danguli rule profile and field scaling",E7-1,,E7,3,"Sprint 5",E2-7,Tech Lead,"Variant tuning for longer distance style.","Danguli mode differs measurably from Classic"
Story,"E7-2 Chinni Dandu strict attempt profile",E7-2,,E7,2,"Sprint 5",E2-2,Gameplay Engineer,"Variant enforcing strict attempt behavior.","Attempt and out logic matches variant spec"
Story,"E7-3 Viti Dandu throw-out emphasis logic",E7-3,,E7,3,"Sprint 5","E2-4|E3-1",Gameplay Engineer,"Variant increasing fielder throw-out impact.","Throw-out frequency hits tuning target"
Story,"E7-4 Variant selection UX and matchmaking flags",E7-4,,E7,3,"Sprint 5","E7-1|E7-3",UI/UX + Network,"Variant selection integrated in menus and online flags.","Selected variant persists and syncs in sessions"
Story,"E8-1 Local split-screen architecture up to 4",E8-1,,E8,8,"Sprint 5",E6-1,Tech Lead,"Render/input architecture for couch multiplayer.","4-player local match stable at target FPS"
Story,"E8-2 Online session setup lobby relay",E8-2,,E8,8,"Sprint 5",E8-1,Network Engineer,"Create online rooms and join/start flows.","Players can host/join/start without manual recovery"
Story,"E8-3 Server-authoritative turn resolution",E8-3,,E8,8,"Sprint 6","E2-7|E8-2",Network Engineer,"Authoritative rules scoring and outcomes server-side.","Client tampering cannot alter official results"
Story,"E8-4 Ranked queue MMR anti-tamper",E8-4,,E8,8,"Sprint 6",E8-3,Network Engineer,"Ranked progression and queue matching.","MMR updates and anti-abuse checks verified"
Story,"E8-5 Reconnect and desync replay recovery",E8-5,,E8,5,"Sprint 6",E8-3,Network Engineer,"Recover sessions and reconcile state after disconnects.","Reconnect succeeds within timeout budget"
Story,"E9-1 Color-blind and high-contrast profiles",E9-1,,E9,3,"Sprint 6",E4-1,UI/UX,"Accessibility visual modes for gameplay readability.","All critical HUD elements pass contrast checks"
Story,"E9-2 Auto-measure and swing assist toggles",E9-2,,E9,3,"Sprint 6",E2-5,Gameplay Engineer,"Assistive options for less precise input.","Assist modes selectable and save correctly"
Story,"E9-3 Performance pass CPU GPU GC on Switch",E9-3,,E9,8,"Sprint 6","E6-1|E5-1",Tech Lead,"Profiling and optimization across key scenes.","Meets frame-time and memory budgets"
Story,"E9-4 Full regression matrix and bug triage burn-down",E9-4,,E9,8,"Sprint 6",E9-3,QA,"Execute full QA plan and close release blockers.","Zero open P0/P1 defects at code freeze"
Story,"E9-5 Certification checklist and Steam package",E9-5,,E9,5,"Sprint 6",E9-4,Producer,"Finalize compliance and store assets for release.","Submission packets complete and approved"
